effect_id,move_id,sequence,effect_type,hit_count,power_rate,fixed_value,critical_rate,element_type,attack_stat,ailment_type,ailment_rate,ailment_turns,buff_stat,buff_op,buff_value,buff_turns,buff_rate,can_stack,override_target_type,override_attack_range,override_target_life_state,allow_boss_instant_death
1,101,1,Damage,1,1.30,0,0.03,Strike,,,,,,,,,,,,,,
2,102,1,Damage,1,0.60,2,0.03,Slash,,,,,,,,,,,,,,
3,103,1,Damage,1,0.75,4,0.04,Slash,,,,,,,,,,,,,,
4,104,1,Damage,1,1.20,12,0.05,Slash,,,,,,,,,,,,,,
5,105,1,Damage,1,1.30,6,0.03,Strike,Defense,,,,,,,,,,,,,
6,106,1,Damage,1,0.70,4,0.02,None,,,,,,,,,,,,,,
7,501,1,Ailment,,,,,,,Taunt,1.00,2,,,,,,,,,,
8,401,1,Ailment,,,,,,,Taunt,1.00,2,,,,,,,,,,
9,401,2,Buff,,,,,,,,,,Defense,Add,15,3,1.00,false,,,,
10,402,1,Buff,,,,,,,,,,Defense,Add,15,3,1.00,false,,,,
11,502,1,Ailment,,,,,,,Paralysis,1.00,1,,,,,,,,,,
12,503,1,Ailment,,,,,,,Poison,1.00,1,,,,,,,,,,
13,504,1,Ailment,2,0.10,0,0.00,None,,DamageTrap,1.00,2,,,,,,,,,,
14,301,1,Heal,,1.00,20,,Holy,,,,,,,,,,,,,,
15,302,1,Heal,,1.25,45,,Holy,,,,,,,,,,,,,,
16,303,1,Heal,,1.60,85,,Holy,,,,,,,,,,,,,,
17,304,1,Heal,,2.10,150,,Holy,,,,,,,,,,,,,,
18,107,1,Damage,1,1.20,3,0.03,Holy,,,,,,,,,,,,,,
19,108,1,Damage,1,1.30,4,0.02,Fire,,,,,,,,,,,,,,
20,109,1,Damage,1,1.35,2,0.02,Fire,,,,,,,,,,,,,,
21,110,1,Damage,1,1.35,5,0.03,Fire,,,,,,,,,,,,,,
22,111,1,Damage,1,1.75,10,0.04,Fire,,,,,,,,,,,,,,
23,112,1,Damage,1,2.30,18,0.05,Fire,,,,,,,,,,,,,,
24,113,1,Damage,1,1.00,2,0.01,Water,,,,,,,,,,,,,,
25,114,1,Damage,1,1.20,5,0.02,Water,,,,,,,,,,,,,,
26,115,1,Damage,1,1.45,9,0.03,Water,,,,,,,,,,,,,,
27,116,1,Damage,1,1.90,15,0.04,Water,,,,,,,,,,,,,,
28,117,1,Damage,1,0.95,2,0.01,Wind,,,,,,,,,,,,,,
29,118,1,Damage,1,1.15,4,0.02,Wind,,,,,,,,,,,,,,
30,119,1,Damage,1,1.35,7,0.03,Wind,,,,,,,,,,,,,,
31,120,1,Damage,1,1.70,12,0.04,Wind,,,,,,,,,,,,,,
32,121,1,Damage,1,1.00,3,0.01,Earth,,,,,,,,,,,,,,
33,122,1,Damage,1,1.20,6,0.02,Earth,,,,,,,,,,,,,,
34,123,1,Damage,1,1.45,10,0.03,Earth,,,,,,,,,,,,,,
35,124,1,Damage,1,1.85,16,0.04,Earth,,,,,,,,,,,,,,
36,125,1,Damage,1,1.30,0,0.03,Strike,Strength,,,,,,,,,,,,,
37,201,1,Damage,1,1.50,0,0.03,Fire,Intelligence,,,,,,,,,,,,,
38,126,1,Damage,1,0.70,0,0.02,Slash,Strength,,,,,,,,,,,,,
39,505,1,Ailment,,,,,,,Sleep,0.50,2,,,,,,,,,,
40,127,1,Damage,1,1.30,0,0.03,Strike,Strength,,,,,,,,,,,,,
41,128,1,Damage,3,0.50,0,0.02,Pierce,Strength,,,,,,,,,,,,,
42,506,1,Ailment,,,,,,,Poison,1.00,3,,,,,,,,,,
43,305,1,Damage,1,1.00,0,0.02,Strike,Strength,,,,,,,,,,,,,
44,305,2,Heal,,0.20,0,,None,Strength,,,,,,,,,,Self,Single,Alive,
45,129,1,Damage,1,1.50,0,0.03,Strike,Strength,,,,,,,,,,,,,
