move_id,move_name,description,target_type,attack_range,mp_cost,execution_priority,move_category,effect_image_path,target_life_state
101,ルーキーストライク,駆け出しの一撃.,Enemy,Single,4,0,Attack,,
102,なぎはらい,敵一列を薙ぎ払う物理攻撃.,Enemy,Row,3,0,Attack,,
103,スラッシュ,敵一列を鋭く切り裂く斬撃.,Enemy,Row,5,0,Attack,,
104,ギガスラッシュ,敵一列を薙ぎ払う極大斬撃.,Enemy,Row,12,0,Attack,,
105,シールドバッシュ,敵単体に盾ごと叩き込む防御依存の一撃.,Enemy,Single,3,0,Attack,,
106,ヴズルイフ,敵横一列に衝撃波を放つ魔法攻撃.,Enemy,Row,4,0,Attack,,
107,ヒルフェ,敵単体に聖なる一撃.,Enemy,Single,5,0,Attack,,
108,プラーミア,敵単体を焼く火炎魔法.,Enemy,Single,3,0,Attack,,
109,クラインプラーミヤ,敵単体を焦がす火炎魔法.,Enemy,Single,6,0,Attack,,
110,ミッテルプラーミヤ,敵単体を焼き払う火炎魔法.,Enemy,Single,6,0,Attack,,
111,グロースプラーミヤ,敵単体を灼熱で包む火炎魔法.,Enemy,Single,25,0,Attack,,
112,ウアプラーミヤ,敵単体を灰に変える極大火炎魔法.,Enemy,Single,16,0,Attack,,
113,クラインヴォーダ,敵一列を濡らす小さな水流魔法.,Enemy,Column,4,0,Attack,,
114,ミッテルヴォーダ,敵一列を呑み込む水流魔法.,Enemy,Column,7,0,Attack,,
115,グロースヴォーダ,敵一列を押し流す激流魔法.,Enemy,Column,11,0,Attack,,
116,ウアヴォーダ,敵一列を呑み尽くす大瀑布の魔法.,Enemy,Column,17,0,Attack,,
117,クラインヴェーチェル,敵前方を切り裂く小さな風魔法.,Enemy,Square,5,0,Attack,,
118,ミッテルヴェーチェル,敵前方を飲み込む烈風魔法.,Enemy,Square,8,0,Attack,,
119,グロースヴェーチェル,敵前方を薙ぎ払う暴風魔法.,Enemy,Square,12,0,Attack,,
120,ウアヴェーチェル,敵前方を吹き飛ばす極大暴風魔法.,Enemy,Square,18,0,Attack,,
121,クラインゼムリャ,敵横一列に岩塊をぶつける土魔法.,Enemy,Row,4,0,Attack,,
