move_id,move_name,description,target_type,attack_range,mp_cost,execution_priority,move_category,effect_image_path,target_life_state
1,ルーキーストライク,駆け出しの一撃.,Enemy,Single,4,0,Attack,,
2,なぎはらい,敵一列を薙ぎ払う物理攻撃.,Enemy,Column,4,0,Attack,,
3,スラッシュ,敵一列を鋭く切り裂く斬撃.,Enemy,Column,6,0,Attack,,
4,ギガスラッシュ,敵一列を薙ぎ払う極大斬撃.,Enemy,Column,12,0,Attack,,
5,シールドバッシュ,敵単体に盾ごと叩き込む防御依存の一撃.,Enemy,Single,5,0,Attack,,
6,ヴズルイフ,敵横一列に衝撃波を放つ魔法攻撃.,Enemy,Row,6,0,Attack,,
7,ちょうはつ,自分を狙わせてヘイトを高める.,Self,Single,3,1,Support,,
8,護符の構え,護符を掲げて狙いを集めつつ身を守る.,Self,Single,6,1,Support,,
9,シルト,味方全体に防御強化を付与.,Ally,All,8,1,Support,,
10,パラライズ,敵単体を麻痺させる呪縛の術.,Enemy,Single,5,0,Support,,
11,ポイズンミスト,敵一列を毒霧で蝕む.,Enemy,Column,5,0,Support,,
12,トラップセット,敵単体の足元に罠を仕掛ける.,Enemy,Single,6,0,Support,,
13,マールイテラピー,味方単体のHPを回復.,Ally,Single,5,0,Support,,
14,スレドニーテラピー,味方単体のHPを大きく回復.,Ally,Single,8,0,Support,,
15,ボリショイテラピー,味方単体のHPをかなり回復.,Ally,Single,12,0,Support,,
16,ヴェリーキーテラピー,味方単体のHPを大幅に回復.,Ally,Single,18,0,Support,,
17,ヒルフェ,敵単体に聖なる一撃.,Enemy,Single,5,0,Attack,,
18,プラーミア,敵横一列を焼く火炎魔法.,Enemy,Row,6,0,Attack,,
19,クラインプラーミヤ,敵単体を焦がす小さな火炎魔法.,Enemy,Single,3,0,Attack,,
20,ミッテルプラーミヤ,敵単体を焼き払う火炎魔法.,Enemy,Single,6,0,Attack,,
21,グロースプラーミヤ,敵単体を灼熱で包む火炎魔法.,Enemy,Single,10,0,Attack,,
22,ウアプラーミヤ,敵単体を灰に変える極大火炎魔法.,Enemy,Single,16,0,Attack,,
23,クラインヴォーダ,敵一列を濡らす小さな水流魔法.,Enemy,Column,4,0,Attack,,
24,ミッテルヴォーダ,敵一列を呑み込む水流魔法.,Enemy,Column,7,0,Attack,,
25,グロースヴォーダ,敵一列を押し流す激流魔法.,Enemy,Column,11,0,Attack,,
26,ウアヴォーダ,敵一列を呑み尽くす大瀑布の魔法.,Enemy,Column,17,0,Attack,,
27,クラインヴェーチェル,敵前方を切り裂く小さな風魔法.,Enemy,Square,5,0,Attack,,
28,ミッテルヴェーチェル,敵前方を飲み込む烈風魔法.,Enemy,Square,8,0,Attack,,
29,グロースヴェーチェル,敵前方を薙ぎ払う暴風魔法.,Enemy,Square,12,0,Attack,,
30,ウアヴェーチェル,敵前方を吹き飛ばす極大暴風魔法.,Enemy,Square,18,0,Attack,,
31,クラインゼムリャ,敵横一列に岩塊をぶつける土魔法.,Enemy,Row,4,0,Attack,,
32,ミッテルゼムリャ,敵横一列を砕く岩撃魔法.,Enemy,Row,7,0,Attack,,
33,グロースゼムリャ,敵横一列を圧し潰す巨岩魔法.,Enemy,Row,11,0,Attack,,
34,ウアゼムリャ,敵横一列を埋め尽くす崩岩魔法.,Enemy,Row,17,0,Attack,,
35,締め付ける,強く締め付ける単体物理攻撃.,Enemy,Single,6,0,Attack,,
36,マグマティーチ,灼熱の茶柱を叩きつける火炎魔法.,Enemy,Single,8,0,Attack,,
37,花吹雪,花びらの渦で敵全体を切り裂く.,Enemy,All,10,0,Attack,,
38,あくび,眠気を誘って行動不能にする.,Enemy,Single,4,0,Support,,
39,ウーキーストライク,荒々しい一撃を叩き込む.,Enemy,Single,4,0,Attack,,
40,三叉づき,三つ叉の槍で三連撃を放つ.,Enemy,Single,8,0,Attack,,
41,毒針,毒の針で相手を蝕む.,Enemy,Single,5,0,Support,,
42,吸血,血を啜って自らを癒やす.,Enemy,Single,7,0,Hybrid,,
43,パルスブレイク,脈動する衝撃で叩き割る.,Enemy,Single,8,0,Attack,,
44,タコ殴り,連打の嵐で敵を打ち据える.,Enemy,Single,12,0,Attack,,
45,イカ墨,墨を浴びせて命中を鈍らせる.,Enemy,Single,7,0,Support,,
46,氷の息,凍てつく息で敵一列を薙ぐ.,Enemy,Column,10,0,Attack,,
47,氷胞子,冷たい胞子で眠りへ誘う.,Enemy,Single,8,0,Hybrid,,
48,アイスダンス,氷刃の舞で敵一列を連続攻撃する.,Enemy,Column,12,0,Attack,,
49,電磁法,電磁の衝撃で麻痺を与える.,Enemy,Single,10,0,Hybrid,,
50,オープンザドア,扉を開き奈落へ突き落とす.,Enemy,Single,12,0,Support,,
51,コウテイスラッシュ,帝王の連斬で切り刻む.,Enemy,Single,10,0,Attack,,
52,シャットダウン,全機能を停止させる決戦打撃.,Enemy,Single,18,0,Attack,,
53,ダイチキョウセイ,大地の力で敵を砕き味方を癒やす.,Enemy,Single,14,0,Hybrid,,
54,カリトル,刈り取るように敵全体を薙ぐ.,Enemy,All,14,0,Attack,,
55,踏みつけ,圧倒的な質量で踏み潰す.,Enemy,Single,14,0,Attack,,
56,ヤク,灼ける呪いで相手を焼く.,Enemy,Single,10,0,Hybrid,,
57,みなぎる,力を満たして自らを回復する.,Self,Single,8,0,Support,,
58,バグ,自壊と引き換えに敵全体を破壊する.,Enemy,All,18,0,Hybrid,,
59,イカル,二体を呪って即座に墜とす.,Enemy,Column,16,0,Support,,
60,バリバリ,雷撃を全体へばら撒く.,Enemy,All,14,0,Hybrid,,
61,サンパワー,太陽の力で味方全員を癒やす.,Ally,All,12,0,Support,,
62,ゴールドラッシュ,黄金の連撃を浴びせる.,Enemy,Single,16,0,Attack,,
63,ヘブン,天の光で味方を完全蘇生する.,Ally,Single,20,0,Support,,Dead
64,薙ぎ払い,豪腕で敵一行を一掃する.,Enemy,Row,10,0,Attack,,
65,魔神斬り,鬼気をまとって敵単体へ叩き込む強烈な斬撃.,Enemy,Single,8,0,Attack,,
66,捨て身の構え,守りを捨てて攻めへ転じる危険な構え.,Self,Single,6,1,Support,,
67,剣閃一文字,研ぎ澄まされた剣閃で敵一行を斬り払う.,Enemy,Row,10,0,Attack,,
68,心眼,次の一太刀を見切りの極意で会心へ導く.,Self,Single,5,1,Support,,
69,幻惑の挑発,幻惑を交えた挑発で狙いを集めつつ身をかわす.,Self,Single,6,1,Support,,
70,トリックガード,味方一人へ奇術めいた防護幕を張る.,Ally,Single,7,1,Support,,
71,聖盾の挑発,聖盾を掲げて敵意を集めつつ守りを固める.,Self,Single,6,1,Support,,
72,プロテクトベール,味方一人を聖なる幕で包み被害を軽減する.,Ally,Single,8,1,Support,,
73,フレアライン,灼熱の炎線で敵一列を焼き払う.,Enemy,Column,9,0,Attack,,
74,炎脈励起,炎の脈動で己の魔力を燃え上がらせる.,Self,Single,6,1,Support,,
75,タイダルレイン,激しい水の奔流で敵一行を飲み込む.,Enemy,Row,10,0,Attack,,
76,水鏡励起,澄んだ水鏡で己の魔力を研ぎ澄ます.,Self,Single,6,1,Support,,
77,テンペスト,暴風で敵全体を吹き荒らす.,Enemy,All,12,0,Attack,,
78,風詠励起,風の詠唱で己の魔力を高める.,Self,Single,6,1,Support,,
79,ホーリーリカバー,聖なる祈りで味方一列を大きく癒やす.,Ally,Column,10,0,Support,,
80,リジェネレイ,再生の祈りで味方一人へ継続回復を授ける.,Ally,Single,8,0,Support,,
81,ソウルリープ,魂を引き剥がす禁忌の呪法。ボスには効かない.,Enemy,Single,10,0,Support,,
82,死霊召喚,呼び出した死霊に敵単体を襲わせる.,Enemy,Single,10,0,Attack,,
83,ポイズンショット,毒を塗った矢で敵を撃ち抜き蝕む.,Enemy,Single,6,0,Hybrid,,
84,急所撃ち,急所を狙い澄ました必殺の狙撃.,Enemy,Single,12,0,Support,,
85,スタンワイヤー,仕込んだ鋼線で敵を絡め取り麻痺させる.,Enemy,Single,7,0,Hybrid,,
86,黒霧散布,黒い霧をばら撒き敵全体の狙いを曇らせる.,Enemy,All,9,0,Support,,
87,覇刃列断,覇王の剣気で敵一行をまとめて断ち切る.,Enemy,Row,14,0,Attack,,
88,神速闘気,闘気を巡らせて攻めと速さを同時に高める.,Self,Single,8,1,Support,,
89,血戦覚悟,己の血を代償に限界を超える闘気を引き出す.,Self,Single,10,1,Support,,
90,絶対守護,味方すべてへの痛みを引き受ける誓いを立てる.,Self,Single,10,1,Support,,
91,城塞祈祷,祈りによって己を城塞のごとき守りへ変える.,Self,Single,9,1,Support,,
92,不動城壁,攻めを捨てて不動の要塞と化す.,Self,Single,8,1,Support,,
93,三相崩界,火水風の奔流を束ねて敵全体を呑み込む.,Enemy,All,16,0,Attack,,
94,精霊励起,精霊の残響で魔力と反応速度を研ぎ澄ます.,Self,Single,8,1,Support,,
95,魔力転成,生命力を魔力へと転じて知性を極限まで高める.,Self,Single,10,1,Support,,
96,大祝福,大いなる祝福で味方全体を包み込む.,Ally,All,16,0,Support,,
97,魂呼び,離れかけた魂を呼び戻して戦列へ復帰させる.,Ally,Single,18,0,Support,,Dead
98,聖域結界,味方全体を聖域の結界で包み被害を抑える.,Ally,All,12,1,Support,,
99,千罠陣,無数の罠を戦場全面へ張り巡らせる.,Enemy,All,14,0,Support,,
100,デスハント,死角から放つ狙撃でわずかな隙を刈り取る.,Enemy,Single,14,0,Support,,
101,天覇号令,覇者の号令で己の全能力を一気に引き上げる.,Self,Single,14,1,Support,,
102,断界一閃,空間ごと断ち割るほどの一閃を単体へ叩き込む.,Enemy,Single,18,0,Attack,,
103,終末流星,終末の流星群で敵全体を焼き払う.,Enemy,All,20,0,Attack,,
104,星天大祈祷,星天の加護で味方全体を超回復する.,Ally,All,18,0,Support,,
