equipment_id,name,flavor_text,equipment_type,max_durability,mastery_cap,synthesis_gold_cost,bonus_max_hp,bonus_max_mp,bonus_strength,bonus_defense,bonus_intelligence,bonus_luck,bonus_speed,equippable_jobs
1001,旅立ちの剣,旅立ちの日に渡される軽い剣,Weapon,10,50,10,0,0,2,0,0,0,0,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2001,旅立ちの服,旅立ちの日に支給される丈夫な服,Armor,10,50,10,8,0,0,2,0,0,0,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1002,ぬま鉄の剣,ぬまちの鉄を打って作られた重めの剣,Weapon,16,80,30,0,0,4,1,0,0,0,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2002,たびびとのマント,ながたびにたえるじょうぶなマント,Armor,16,80,30,20,0,0,5,0,0,0,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1003,はなびらの剣,はなびらのようにかるくてするどい剣,Weapon,24,120,60,0,8,8,1,6,0,0,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2003,もりのころも,もりのせいれいにまもられたかるいころも,Armor,24,120,60,55,8,0,14,2,2,1,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2004,かいがらの鎧,かいがらをつなぎあわせたうみべの鎧,Armor,30,150,90,80,0,0,17,0,0,1,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2005,あらしの鎧,あらしにもびくともしない鎧,Armor,34,180,110,176,0,0,23,0,0,2,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2006,かげろうの鎧,かげろうのようにゆらめいてみえる鎧,Armor,38,210,130,236,0,0,10,0,0,2,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2007,ひのとりの鎧,ひのとりのはねをおりこんだあかい鎧,Armor,44,240,160,170,0,0,11,0,0,6,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2008,おおぞらの鎧,おおぞらのひかりをまとうどっしりした鎧,Armor,50,280,200,311,0,0,20,0,4,8,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2009,あさぎりの鎧,あさぎりをまとったようにかるい鎧。まもりながら身のこなしもかるくなる,Armor,20,90,45,17,0,0,3,0,4,4,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2010,そよかぜの鎧,そよかぜをぬいこんだ軽量鎧。素早さと守備を両立する,Armor,24,110,60,55,0,0,8,0,14,8,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2011,鉄壁の鎧,分厚い鋼板をかさねた重装鎧。HPと防御を大きくのばす,Armor,28,140,80,121,0,0,11,0,20,12,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2012,紅蓮の鎧,紅蓮の紋がほのおのようにかがやく鎧。守りながら攻めにもそなえる,Armor,30,160,95,162,0,0,14,0,26,16,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2013,流星の鎧,流星のかけらで織った鎧。重さのわりに動きやすく、攻守のバランスがよい,Armor,34,190,125,219,0,0,6,0,4,12,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2014,雷鳴の鎧,かみなりを吸いこむ紋章が刻まれた鎧。攻防をこまかくささえる,Armor,38,220,155,270,0,0,7,0,5,15,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2015,きらめきの鎧,ひかりをはねかえすまばゆい鎧。MPと防御を底上げする,Armor,42,260,190,246,0,0,7,0,51,65,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
2016,えいえんの鎧,いつまでもこわれないといわれる鎧。最大HPと守備をきわめて高める,Armor,46,320,230,338,0,0,59,0,13,36,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1004,ほしくずの剣,ほしくずをとかしてきたえた剣,Weapon,30,150,90,0,4,12,3,2,0,1,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1005,王都の剣,王都の工房で鍛えられた均整の取れた上質な剣,Weapon,36,190,130,0,6,19,5,2,0,3,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1006,ばくねつの剣,にぎるとあつい、ほのおをやどした剣,Weapon,46,280,220,0,10,38,10,5,0,6,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1007,きわみの剣,かじやがうでのきわみをつくした剣,Weapon,58,360,320,0,5,57,18,1,0,13,Apprentice|Warrior|Guardian|Mage|Priest|Ranger|OniWarrior|SwordMaster|Trickster|Crusader|FireMage|WaterMage|WindMage|HighPriest|Necromancer|Sniper|TrapMaster|GrandWarrior|GrandGuard|GrandCaster|GrandPriest|GrandRanger|Shogun|Archmage|GreatThief
1101,おにの大剣,おにのちからがやどった大剣。戦士系ジョブ向けの高火力装備,Weapon,48,320,240,0,0,106,18,0,0,0,Warrior|OniWarrior|SwordMaster|GrandWarrior|Shogun
1102,まもりの長槍,まもりのちかいをこめた長槍。守護系ジョブ向けに防御と機動を両立,Weapon,48,320,240,0,0,47,49,0,0,20,Guardian|Trickster|Crusader|GrandGuard|Shogun
1103,まどうしの杖,まりょくのながれをととのえる杖。魔導系ジョブの魔力を大きく引き上げる,Weapon,48,320,240,0,30,0,0,6,0,32,Mage|FireMage|WaterMage|WindMage|GrandCaster|Archmage
1104,いのりの杖,いのりのひかりをたばねた杖。神官系ジョブ向けの知性と耐久を補助,Weapon,48,320,240,49,57,0,20,6,0,0,Priest|HighPriest|Necromancer|GrandPriest|Archmage
1105,かりうどの長弓,けものみちをかけるかりうどの長弓。射手系ジョブ向けに速度と運を強化,Weapon,48,320,240,0,0,70,0,0,34,76,Ranger|Sniper|TrapMaster|GrandRanger|GreatThief
2101,おにの重鎧,おにもひるむがんじょうな重鎧。前衛向けにHPと攻撃を底上げ,Armor,52,340,260,700,0,185,139,0,0,0,Warrior|OniWarrior|SwordMaster|GrandWarrior|Shogun
