id,job_code,job_name,description,master_level,max_hp,max_mp,strength,defense,intelligence,luck,speed,required_master_job_1,required_master_job_2,required_master_job_3
1,Apprentice,見習い,旅立ったばかりの冒険者の基本職。HPとMPをまんべんなく伸ばしながら、まずは一体ずつ確実に打ち倒す戦い方を覚えていく。,5,4,2,2,2,2,1,1,,,
2,Warrior,戦士,剣を掲げて先頭に立つ王道の前衛職。HPと筋力が大きく伸び、重い一撃とまとめて薙ぎ払う攻めで敵陣を押し込み、そのまま力でねじ伏せる。,20,6,1,3,2,0,1,1,,,
3,Guardian,盾使い,鉄壁の守りで仲間の前に立つ防衛の前衛職。HPと防御が大きく伸び、堅さを活かした反撃と敵の狙いを引き受ける立ち回りで味方を守り抜く。,20,7,1,2,4,0,1,1,,,
4,Mage,魔法使い,強力な魔力で戦場を支配する攻撃魔法職。MPと知力が大きく伸び、単体を焼き払う呪文と複数を巻き込む魔法で後列から一気に勝負を決める。,20,4,3,0,1,5,1,1,,,
5,Priest,僧侶,神々への祈りで仲間に加護を授ける支援の職。MPと知力がよく伸び、傷を癒やしながら守りを固め、ときには祈りで味方の攻めを後押しして戦いを支える。,20,4,4,0,1,3,2,1,,,
6,Ranger,レンジャー,素早く立ち回り獲物を追い詰めるスキル巧派の職。素早さと運が伸びやすく、敵の動きを封じたりじわじわ追い込んだりして戦況を有利に傾ける。,20,5,2,2,1,1,2,3,,,
7,OniWarrior,鬼武者,鬼神のごとき猛攻で敵陣を断ち割る豪剣職。HPと筋力が大きく伸び、身を削るほど凶悪な一撃で前線を突破する。,30,8,1,6,1,0,1,3,Warrior,,
8,SwordMaster,ソードマスター,研ぎ澄まされた剣閃で敵を断つ達人の剣士。筋力と素早さがよく伸び、鋭い列攻撃と会心の一太刀で勝機を掴む。,30,7,1,5,2,0,1,4,Warrior,,
9,Trickster,トリックスター,幻惑と奇策で戦場をかき乱す撹乱盾役。HPと素早さが伸び、狙いを集めつつ身かわしと軽減で粘り強く立つ。,30,7,2,2,3,0,2,5,Guardian,,
10,Crusader,クルセイダー,聖なる盾で仲間を守る守護騎士。HPと防御が大きく伸び、堅牢な挑発と加護で味方を護り抜く。,30,8,2,2,6,1,1,1,Guardian,,
11,FireMage,火魔法使い,灼熱の術を極めた炎の魔導士。MPと知力が大きく伸び、列を焼く火炎呪文で敵陣を崩す。,30,4,6,0,1,6,1,2,Mage,,
