job_code,move_1,move_2,move_3,move_4,move_5
Apprentice,101,,,,
Warrior,102,103,,,
Guardian,105,501,,,
Mage,106,108,,,
Priest,301,402,,,
Ranger,502,503,,,
OniWarrior,138,404,,,
SwordMaster,139,405,132,,
Trickster,406,407,105,,
Crusader,408,409,105,,
FireMage,203,410,111,,
WaterMage,204,411,,,
WindMage,205,412,,,
HighPriest,310,513,402,,
Necromancer,514,206,302,,
Sniper,515,516,609,,
TrapMaster,517,413,504,,
GrandWarrior,140,414,415,141,
GrandGuard,518,416,417,,
GrandCaster,207,418,419,,
GrandPriest,311,312,420,,
GrandRanger,519,520,610,,
Shogun,421,141,611,,
Archmage,208,313,602,,
GreatThief,521,422,,,
Bushin,141,421,612,,
Seikaiou,208,313,608,,
Matouou,521,422,607,,
Shugoshin,518,603,604,,
