status_key,rank,max_value
maxHp,G,120
maxHp,F,210
maxHp,E,320
maxHp,D,450
maxHp,C,520
maxHp,B,715
maxHp,A,930
maxHp,S,1200
maxHp,SS,1500
maxHp,SSS,2147483647
maxMp,G,30
maxMp,F,55
maxMp,E,90
maxMp,D,130
maxMp,C,220
maxMp,B,450
maxMp,A,560
maxMp,S,700
maxMp,SS,900
maxMp,SSS,2147483647
strength,G,15
strength,F,30
strength,E,50
strength,D,75
strength,C,150
strength,B,385
strength,A,500
strength,S,650
strength,SS,850
strength,SSS,2147483647
defense,G,15
defense,F,30
defense,E,50
defense,D,75
defense,C,150
defense,B,450
defense,A,560
defense,S,700
defense,SS,900
defense,SSS,2147483647
intelligence,G,15
intelligence,F,30
intelligence,E,50
intelligence,D,75
intelligence,C,150
intelligence,B,450
intelligence,A,560
intelligence,S,700
intelligence,SS,900
intelligence,SSS,2147483647
luck,G,12
luck,F,24
luck,E,40
luck,D,58
luck,C,120
luck,B,255
luck,A,320
luck,S,400
luck,SS,520
luck,SSS,2147483647
speed,G,12
speed,F,24
speed,E,40
speed,D,58
speed,C,140
speed,B,350
speed,A,440
speed,S,560
speed,SS,720
speed,SSS,2147483647
