id,name,level,max_hp,max_mp,strength,defense,intelligence,luck,speed,image_path,ai_type
1,カイノミ,1,133,14,1,2,9,7,7,image/battle/Enemy7.png,Aggressive
2,ルンバ,1,20,18,1,2,9,7,7,image/battle/Enemy13.png,Defensive
3,イカイノオスシ,1,20,12,1,2,9,6,6,image/battle/Enemy16.png,Aggressive
4,マグティー,1,20,22,1,2,18,7,6,image/battle/Enemy40.png,Supportive
5,トオリャンセ,1,20,14,1,2,5,8,9,image/battle/Enemy43.png,Aggressive
6,ミドリドリ,15,512,27,1,3,27,18,16,image/battle/Enemy21.png,Aggressive
7,プチエナ,15,53,21,1,3,17,16,18,image/battle/Enemy3.png,Aggressive
8,ボツボツ,15,27,30,1,3,95,18,13,image/battle/Enemy8.png,Defensive
9,フガフガ,15,121,26,1,3,36,17,13,image/battle/Enemy1.png,Aggressive
10,メンキー,15,184,23,1,3,17,16,21,image/battle/Enemy22.png,Aggressive
11,マタミツ,15,52,29,1,3,36,17,13,image/battle/Enemy23.png,Aggressive
12,サソガニ,30,997,52,122,26,42,40,74,image/battle/Enemy25.png,Aggressive
13,パッキー,30,137,45,104,27,54,39,49,image/battle/Enemy29.png,Defensive
14,ハニワキャラバン,30,58,43,102,26,114,39,73,image/battle/Enemy98.png,Aggressive
15,バクーマー,30,870,56,108,26,27,42,42,image/battle/Enemy10.png,Supportive
16,ラプタ,30,96,36,158,26,31,39,41,image/battle/Enemy29.png,Aggressive
17,サカサカオクト,30,113,57,119,26,49,41,52,image/battle/Enemy102.png,Aggressive
18,ナイコスモ,45,2446,67,175,67,37,64,139,image/battle/Enemy14.png,Aggressive
19,ブリザゲータ,45,46,79,171,69,106,64,111,image/battle/Enemy37.png,Aggressive
20,フユショウグン,45,163,66,202,77,53,62,109,image/battle/Enemy44.png,Defensive
21,アオガミマッシュ,45,157,71,229,64,75,68,169,image/battle/Enemy63.png,Supportive
22,マジアイス,45,1196,82,216,63,81,62,94,image/battle/Enemy86.png,Supportive
23,ギョロボ,60,1580,56,199,91,72,91,269,image/battle/Enemy12.png,Aggressive
24,ピカタンク,60,801,55,188,107,47,85,159,image/battle/Enemy31.png,Defensive
25,リザッド,60,350,60,212,93,226,94,247,image/battle/Enemy57.png,Aggressive
26,オートトビラ,60,117,77,343,131,133,122,226,image/battle/Enemy93.png,Supportive
27,ビークルイーグル,60,117,67,343,131,104,122,287,image/battle/Enemy94.png,Aggressive
28,ラストウェポン,60,20,77,343,131,90,107,226,image/battle/Enemy99.png,Aggressive
29,緑竜,75,5980,190,323,112,118,148,354,image/battle/Enemy15.png,Supportive
30,ゴリゴル,75,461,136,338,124,110,127,276,image/battle/Enemy26.png,Aggressive
31,シャードゥ,75,1020,244,243,95,205,193,415,image/battle/Enemy49.png,Supportive
32,フンヌヌ,75,1066,158,431,114,110,145,428,image/battle/Enemy60.png,Aggressive
33,ホーオウ,75,382,191,377,105,299,158,422,image/battle/Enemy62.png,Supportive
34,グレートドラゴン,75,417,171,397,117,213,148,314,image/battle/Enemy100.png,Supportive
35,ダークトオリャンセ,90,20,239,9,83,70,234,473,image/battle/Enemy43.png,Defensive
36,ダークイカイノオスシ,90,20,376,9,73,293,252,457,image/battle/Enemy16.png,Supportive
37,ダークマグティー,90,20,416,9,69,259,279,481,image/battle/Enemy40.png,Supportive
38,ダークマタミツ,90,20,239,9,87,70,243,496,image/battle/Enemy23.png,Defensive
39,ダークフガフガ,90,114,239,9,84,70,247,504,image/battle/Enemy1.png,Defensive
40,ダークメンキー,90,103,386,9,74,302,270,567,image/battle/Enemy22.png,Supportive
41,ダークサカサカオクト,90,120,239,9,88,70,261,520,image/battle/Enemy102.png,Defensive
42,ダークラプタ,90,105,391,9,75,308,274,552,image/battle/Enemy29.png,Supportive
43,ダークサソガニ,90,99,426,9,71,396,287,492,image/battle/Enemy25.png,Supportive
44,ダークマジアイス,90,444,239,9,90,50,270,451,image/battle/Enemy86.png,Defensive
45,ダークフユショウグン,90,398,406,9,81,316,279,410,image/battle/Enemy44.png,Supportive
46,ダークアオガミマッシュ,90,372,431,9,73,291,296,504,image/battle/Enemy63.png,Supportive
47,ダークラストウェポン,90,320,239,9,94,70,292,485,image/battle/Enemy99.png,Defensive
48,ダークオートトビラ,90,283,431,9,83,316,305,473,image/battle/Enemy93.png,Supportive
49,ダークビークルイーグル,90,264,426,9,76,438,310,623,image/battle/Enemy94.png,Supportive
50,くろ竜,90,451,431,9,90,316,323,523,image/battle/Enemy15.png,Supportive
51,ダークゴリゴル,90,335,239,9,98,70,296,473,image/battle/Enemy26.png,Defensive
52,ダークシャードゥ,90,1393,352,9,79,140,272,491,image/battle/Enemy49.png,Supportive
53,ダークフンヌヌ,90,538,239,12,92,123,257,520,image/battle/Enemy60.png,Defensive
54,ダークホーオウ,90,468,366,9,81,201,280,488,image/battle/Enemy62.png,Supportive
55,ダークドラゴン,90,564,239,12,95,123,265,447,image/battle/Enemy100.png,Defensive
56,ほしよみのけんじゃ,90,20,424,9,79,151,295,498,image/battle/Enemy61.png,Supportive
57,しにがみライダー,90,575,257,9,113,70,323,449,image/battle/Enemy66.png,Defensive
58,ほしよみのまじょ,90,791,431,9,76,160,310,534,image/battle/Enemy61.png,Supportive
59,黒盾の騎士,100,121,314,1,177,243,373,460,image/battle/Enemy111.png,Defensive
60,はがねの番兵,100,82,551,1,127,158,413,549,image/battle/Enemy116.png,Supportive
61,黒盾の大騎士,100,504,314,1,167,426,360,454,image/battle/Enemy111.png,Defensive
62,はがねの将軍,100,419,429,1,115,73,373,548,image/battle/Enemy116.png,Supportive
63,機械じかけの天使,100,495,554,1,132,76,426,521,image/battle/Enemy120.png,Supportive
64,墓守の王,100,871,474,1,192,460,413,494,image/battle/Enemy117.png,Defensive
66,天界の笛吹き,60,468,46,58,24,67,68,159,image/battle/character_daitenshi_01_02_silver.png,Supportive
67,天界の竪琴手,60,498,43,58,24,9,70,173,image/battle/character_daitenshi_01_02_brown.png,Supportive
68,天界の太鼓手,60,326,43,58,29,58,68,183,image/battle/character_daitenshi_01_02_gold.png,Aggressive
69,天界の舞姫,60,296,50,58,24,77,74,191,image/battle/character_daiakuma_01_02_silver.png,Supportive
70,天界の指揮者,60,566,43,58,24,77,77,159,image/battle/character_daiakuma_02_02_black.png,Defensive
71,黄金の守護兵,120,387,484,368,112,1206,472,491,image/battle/character_hero_gold.png,Defensive
72,黄金の弓兵,120,979,488,356,91,478,449,580,image/battle/character_elf_man_01_01_gold.png,Aggressive
73,黄金の僧兵,120,1555,529,320,97,521,492,503,image/battle/character_elf_woman_01_02_gold.png,Supportive
74,黄金の魔導兵,120,1023,590,308,87,917,536,534,image/battle/character_megami_02_pink.png,Supportive
75,黄金の将軍,120,1008,427,532,138,317,463,458,image/battle/character_megami_02_gold.png,Defensive
76,黄金竜,120,36,386,552,146,317,420,381,image/battle/character_monster_dragon_01_yellow.png,Aggressive
77,花守のフェアリー,150,984,469,21,93,248,457,571,image/battle/Enemy123.png,Supportive
78,深森の戦士,150,1344,409,21,140,55,412,380,image/battle/Enemy124.png,Defensive
79,樹界のエルフ,150,592,433,21,95,57,545,679,image/battle/Enemy125.png,Aggressive
80,木霊の小人,150,822,686,21,102,273,619,505,image/battle/Enemy126.png,Supportive
81,試練の森神,150,45596,736,21,167,99,678,480,image/battle/Enemy127.png,Supportive
