enemy_definition_id,move_ids
1,101
2,101
3,101|125
4,201
5,126
6,101
7,101
8,101
9,101|505
10,127
11,101|128
12,101|506
13,101
14,101
15,101|305
16,129
17,130|403
18,101
19,101|131
20,101
21,101|507
22,202
23,101
24,101|508
25,101
26,101|509
27,101|132
28,133
29,306|134
30,137|135
31,510|307
32,601|511
33,512|308
34,136|309
35,603|140|141
36,604|605|128
37,606|604|605|201
38,603|138|141
39,603|137|140
40,604|605|132
41,603|130|140
42,604|605|129
43,604|605|134
44,603|202|141
45,604|605|131
46,606|604|605|507
47,603|133|141
48,604|605|509
49,604|605|136
50,606|604|605|134
51,603|135|141
52,606|604|605|207
53,603|601|140
54,606|604|605|512
55,603|136|141
56,606|604|605|204
57,603|607|135
58,604|605|608
59,611|141
60,604|605|208
61,611|141|612
62,604|605|208|612
63,604|605|402|513|208
64,611|141|612
66,201|403
67,301|403
68,102|105
69,202|402
70,106|505|103
71,141|421
72,610|516
73,301|402|513
74,207|418
75,611|141|421
76,141|421|612
77,202|402|513
78,611|141
79,610|516
80,604|605|208
81,606|604|605|512
