npc_template_id,move_ids
1,101|102
2,502|504
3,301|107
4,109|113
5,501|105|402
6,101|103
7,502|504|117
8,302|107|402
9,401|105|402
10,103|104
11,115|119
12,303|304|107
13,401|105|402
14,103|104
15,115|119
16,303|304|107
17,401|105|402
18,103|104
19,115|119
20,303|304|107
21,401|105|402
22,103|104
23,115|119
24,303|304|107
25,401|105|402
26,103|104
27,115|119
28,303|304|107
29,502|504|117
30,518|603|420
31,611|141|421
32,205|207|418
33,313|420|605
34,519|610|517
35,611|141|421
36,518|507|420
37,203|205|418
38,313|420|513
39,516|610|517
40,611|141|421
41,518|603|420
42,205|207|418
43,313|420|605
44,519|610|517
45,518|603|420
46,611|141|421
47,205|207|418
48,313|420|605
49,519|610|517
