id,name,job,preferred_row,level,max_hp,max_mp,strength,defense,intelligence,luck,speed,role
1,みならいけんし,Warrior,Front,10,102,10,19,11,5,6,11,FrontGuard
2,みならいかりゅうど,Ranger,Middle,10,78,15,14,8,9,8,10,MidSupport
3,みならいしんかん,Priest,Back,10,82,32,7,7,18,9,9,RearHealer
4,みならいまどうし,Mage,Back,10,72,33,7,7,18,8,10,MidSupport
5,たびのガード,Guardian,Front,25,295,56,34,42,14,14,17,FrontGuard
6,たびのけんし,Warrior,Front,25,274,29,44,26,12,16,23,FrontGuard
7,たびのれんじゃー,Ranger,Middle,25,215,35,29,19,24,16,27,MidSupport
8,たびのしんかん,Priest,Back,25,237,66,16,19,36,19,22,RearHealer
9,はなぞのガード,Guardian,Front,50,668,105,63,77,26,25,28,FrontGuard
10,はなぞのけんし,Warrior,Front,50,607,62,81,53,21,30,35,FrontGuard
11,はなぞのまどうし,Mage,Back,50,457,132,23,33,86,32,39,MidSupport
12,はなぞのしんかん,Priest,Back,50,494,150,21,37,92,34,32,RearHealer
13,れんせいガード,Guardian,Front,75,934,147,88,108,37,34,39,FrontGuard
14,れんせいけんし,Warrior,Front,75,850,86,113,74,30,42,49,FrontGuard
15,れんせいまどうし,Mage,Back,75,641,185,32,47,121,44,54,MidSupport
16,れんせいしんかん,Priest,Back,75,690,209,30,52,128,47,44,RearHealer
17,きこうガード,Guardian,Front,100,1508,238,143,173,60,56,63,FrontGuard
18,きこうけんし,Warrior,Front,100,1371,139,183,119,48,68,80,FrontGuard
19,きこうまどうし,Mage,Back,100,1034,298,52,76,193,72,87,MidSupport
20,きこうしんかん,Priest,Back,100,1114,338,48,84,205,76,72,RearHealer
21,てんえいガード,Guardian,Front,300,6728,1062,637,773,266,248,283,FrontGuard
22,てんえいけんし,Warrior,Front,300,6123,621,814,532,213,302,355,FrontGuard
23,てんえいまどうし,Mage,Back,300,4611,1330,231,337,862,319,390,MidSupport
24,てんえいしんかん,Priest,Back,300,4973,1510,213,373,919,337,320,RearHealer
