stage_id,equipment_id,weight,is_miss
1,,25,true
1,1001,20,false
1,1002,15,false
1,2001,20,false
1,2009,20,false
2,,20,true
2,1002,18,false
2,1003,12,false
2,2002,18,false
2,2010,16,false
2,2011,16,false
3,,18,true
3,1003,15,false
3,1004,15,false
3,2003,14,false
3,2004,12,false
3,2012,13,false
3,2013,13,false
4,,16,true
4,1004,16,false
4,1005,14,false
4,2005,14,false
4,2006,12,false
4,2013,14,false
4,2014,14,false
5,,14,true
5,1005,14,false
5,1006,14,false
5,2007,14,false
5,2008,12,false
5,2015,16,false
5,2016,16,false
6,,12,true
6,1006,10,false
6,1101,8,false
6,1102,8,false
6,1103,8,false
6,1104,8,false
6,1105,8,false
6,2101,6,false
6,2102,6,false
6,2103,6,false
6,2104,6,false
6,2105,6,false
7,,8,true
7,1007,8,false
7,1201,5,false
7,1202,5,false
7,1203,5,false
7,1204,5,false
7,1205,5,false
7,1206,5,false
7,1207,5,false
7,1208,5,false
7,1301,4,false
7,1302,4,false
7,1303,4,false
7,1304,4,false
7,1305,4,false
7,1306,4,false
7,1307,4,false
7,1308,4,false
7,2201,4,false
7,2202,4,false
7,2203,4,false
7,2204,4,false
7,2205,4,false
7,2206,4,false
7,2207,4,false
7,2208,4,false
8,,4,true
8,1007,6,false
8,1201,5,false
8,1202,5,false
8,1203,5,false
8,1204,5,false
8,1205,5,false
8,1206,5,false
8,1207,5,false
8,1208,5,false
8,1301,4,false
8,1302,4,false
8,1303,4,false
8,1304,4,false
8,1305,4,false
8,1306,4,false
8,1307,4,false
8,1308,4,false
8,2201,4,false
8,2202,4,false
8,2203,4,false
8,2204,4,false
8,2205,4,false
8,2206,4,false
8,2207,4,false
8,2208,4,false
