stage_id,floor_no,floor_type,exp_rate,gold_rate
1,1,Normal,1.4,1.2
1,2,Normal,1.6,1.3
1,3,Normal,1.8,1.5
1,4,Normal,2.0,1.7
1,5,Boss,2.3,1.9
2,1,Normal,2.6,2.0
2,2,Normal,2.9,2.2
2,3,Normal,3.2,2.4
2,4,Normal,3.5,2.6
2,5,Boss,3.9,3.0
3,1,Normal,5.2,4.4
3,2,Normal,5.6,4.7
3,3,Normal,6.0,5.0
3,4,Normal,6.5,5.3
3,5,Boss,7.2,5.9
4,1,Normal,8.0,6.4
4,2,Normal,8.5,6.8
4,3,Normal,9.1,7.2
4,4,Normal,9.8,7.6
4,5,Boss,10.6,8.3
5,1,Normal,11.0,9.0
5,2,Normal,11.6,9.4
5,3,Normal,12.3,9.9
5,4,Normal,13.1,10.5
5,5,Boss,14.2,11.4
6,1,Normal,22.0,18.0
6,2,Normal,23.5,19.0
6,3,Normal,25.0,20.1
6,4,Normal,26.6,21.0
6,5,Boss,29.2,22.8
7,1,Normal,42.0,31.0
7,2,Normal,45.0,33.0
7,3,Normal,48.5,35.5
7,4,Normal,52.0,38.0
7,5,Boss,57.0,42.0
8,1,Normal,165.0,120.0
8,2,Normal,178.0,130.0
8,3,Normal,192.0,141.0
8,4,Normal,208.0,154.0
8,5,Boss,228.0,170.0
