id,stage_code,name,battlefield_image_path,recommended_level,minimum_entry_level,min_party_member_count,max_party_member_count,is_active,required_map_unlock_flag,progression_type
1,myu-town,ミュータウン,image/quest/residential-battlefield.svg,1,1,4,6,true,,Static
2,fuga-forest,フガフガ森,image/quest/enchanted-forest-battlefield.svg,15,10,4,6,true,,Static
3,sakasaka-desert,サカサカデザート,image/quest/ancient-ruins-battlefield.svg,30,22,4,6,true,,Static
4,ehi-park,エヒエヒパーク,image/quest/crystal-cavern-battlefield.svg,45,35,4,6,true,,Static
5,college-town,カレッジタウン,image/quest/residential-battlefield.svg,60,48,4,6,true,,Static
6,rush-rush,ラッシュラッシュ,image/quest/hell-battlefield.svg,75,62,4,6,true,,Static
7,last-sanctuary,さいはての祭壇,image/quest/hell-battlefield.svg,90,75,4,6,true,,Static
8,void-armory,はがねの墓場,image/quest/moonlit-castle-battlefield.svg,100,88,4,6,true,,Static
9,tenkai-gakudan,天界の楽団,image/quest/moonlit-castle-battlefield.svg,60,45,4,6,true,1,Static
10,ougon-no-sato,黄金の里,image/quest/hell-battlefield.svg,120,90,4,6,true,2,Static
11,trial-forest,試練の森,image/quest/enchanted-forest-battlefield.svg,150,95,4,6,true,,Static
12,boss-rush,きおくのとびら,image/quest/hell-battlefield.svg,200,100,4,6,true,,Static
13,endless-abyss,はてなき旅路,image/quest/enchanted-forest-battlefield.svg,150,95,1,1,true,4,Endless
