id,name,image_path,level,max_hp,max_mp,strength,defense,intelligence,luck,speed
1,まほうつかい見習い,/image/training/04_magic.png,1,18,0,5,2,1,1,2
2,アンポ,/image/training/08_anpo.png,5,34,6,9,5,5,2,4
3,じゅんへいし,/image/training/02_heishi.png,10,56,12,15,10,9,4,7
4,レヴナント,/image/training/07_rev.png,20,94,28,16,16,28,7,12
5,へいし,/image/training/01_heishi.png,50,210,72,42,32,58,18,28
6,だいけんじゃ,/image/training/05_magic.png,75,320,110,60,48,88,28,42
7,エリートへいし,/image/training/03_heishi.png,100,430,80,126,82,70,38,56
8,だいまどうし,/image/training/06_magic.png,150,660,130,180,128,132,58,84
9,アンポ将軍,/image/training/08_anpo.png,200,900,180,246,172,168,78,112
10,てんじょうのきし,/image/training/07_rev.png,250,1180,250,230,210,310,98,140
11,しんえいたいちょう,/image/training/01_heishi.png,300,1500,220,372,258,236,118,168
