id,pool_id,reward_type,item_id,equipment_id,weight,quantity_min,quantity_max,gold_amount,experience_amount,is_fallback
1,201,Item,3001,,45,1,5,,,false
2,201,Gold,,,20,,,120,260,false
3,201,Experience,,,12,,,140,300,true
4,201,Item,3003,,38,1,5,,,false
5,201,Equipment,,1001,6,1,1,,,false
6,201,Equipment,,2001,4,1,1,,,false
7,201,Equipment,,1002,4,1,1,,,false
8,201,Equipment,,2002,3,1,1,,,false
9,201,Equipment,,2009,3,1,1,,,false
10,202,Item,3005,,40,1,5,,,false
11,202,Gold,,,18,,,260,480,false
12,202,Experience,,,12,,,320,560,true
13,202,Item,3008,,32,1,4,,,false
14,202,Equipment,,1003,6,1,1,,,false
15,202,Item,3006,,30,1,4,,,false
16,202,Equipment,,1004,5,1,1,,,false
17,202,Equipment,,2003,4,1,1,,,false
18,202,Equipment,,2010,4,1,1,,,false
19,202,Equipment,,2011,4,1,1,,,false
20,203,Item,3011,,34,1,4,,,false
21,203,Equipment,,1005,6,1,1,,,false
22,203,Gold,,,12,,,520,860,false
23,203,Experience,,,12,,,700,1080,true
24,203,Item,3014,,30,1,4,,,false
25,203,Equipment,,2005,5,1,1,,,false
26,203,Item,3017,,26,1,3,,,false
27,203,Item,3052,,1,1,1,,,false
28,203,Item,3056,,1,1,1,,,false
29,203,Item,3002,,1,1,1,,,false
30,203,Item,3004,,1,1,1,,,false
31,203,Equipment,,2006,4,1,1,,,false
32,203,Equipment,,2012,4,1,1,,,false
33,203,Equipment,,2013,4,1,1,,,false
34,203,Equipment,,1101,1,1,1,,,false
35,203,Equipment,,1102,1,1,1,,,false
36,203,Equipment,,1103,1,1,1,,,false
37,203,Equipment,,1104,1,1,1,,,false
38,203,Equipment,,1105,1,1,1,,,false
39,204,Item,3026,,30,1,4,,,false
40,204,Equipment,,1006,6,1,1,,,false
41,204,Gold,,,12,,,980,1580,false
42,204,Experience,,,12,,,1320,1940,true
43,204,Item,3030,,26,1,4,,,false
44,204,Equipment,,2014,4,1,1,,,false
45,204,Item,3038,,24,1,3,,,false
46,204,Item,3053,,1,1,1,,,false
47,204,Item,3057,,1,1,1,,,false
48,204,Item,3059,,1,1,1,,,false
49,204,Item,3061,,1,1,1,,,false
50,204,Item,3054,,1,1,1,,,false
51,204,Item,3055,,1,1,1,,,false
52,204,Item,3058,,1,1,1,,,false
53,204,Equipment,,2015,4,1,1,,,false
54,204,Equipment,,2016,4,1,1,,,false
55,204,Equipment,,2101,2,1,1,,,false
56,204,Equipment,,2102,2,1,1,,,false
57,204,Equipment,,2103,2,1,1,,,false
58,204,Equipment,,2104,2,1,1,,,false
59,204,Equipment,,2105,2,1,1,,,false
60,204,Equipment,,1201,1,1,1,,,false
61,204,Equipment,,1202,1,1,1,,,false
62,204,Equipment,,1203,1,1,1,,,false
63,204,Equipment,,1204,1,1,1,,,false
64,204,Equipment,,1205,1,1,1,,,false
65,205,Item,3035,,28,1,4,,,false
66,205,Equipment,,1007,5,1,1,,,false
67,205,Gold,,,12,,,1900,3200,false
68,205,Experience,,,12,,,2300,3800,true
69,205,Item,3042,,24,1,4,,,false
70,205,Item,3050,,22,1,3,,,false
71,205,Equipment,,2201,2,1,1,,,false
72,205,Item,3046,,20,1,3,,,false
73,205,Item,3063,,1,1,1,,,false
74,205,Item,3065,,1,1,1,,,false
75,205,Item,3067,,1,1,1,,,false
76,205,Item,3068,,1,1,1,,,false
77,205,Item,3069,,1,1,1,,,false
78,205,Item,3070,,1,1,1,,,false
79,205,Item,3060,,1,1,1,,,false
80,205,Item,3062,,1,1,1,,,false
81,205,Item,3064,,1,1,1,,,false
82,205,Item,3066,,1,1,1,,,false
83,205,Equipment,,2202,2,1,1,,,false
84,205,Equipment,,2203,2,1,1,,,false
85,205,Equipment,,2204,2,1,1,,,false
86,205,Equipment,,2205,2,1,1,,,false
87,205,Equipment,,2206,2,1,1,,,false
88,205,Equipment,,2207,2,1,1,,,false
89,205,Equipment,,2208,2,1,1,,,false
90,205,Equipment,,1201,2,1,1,,,false
91,205,Equipment,,1202,2,1,1,,,false
92,205,Equipment,,1203,2,1,1,,,false
93,205,Equipment,,1204,2,1,1,,,false
94,205,Equipment,,1205,2,1,1,,,false
95,205,Equipment,,1206,2,1,1,,,false
96,205,Equipment,,1207,2,1,1,,,false
97,205,Equipment,,1208,2,1,1,,,false
98,205,Equipment,,1301,1,1,1,,,false
99,205,Equipment,,1302,1,1,1,,,false
100,205,Equipment,,1303,1,1,1,,,false
101,205,Equipment,,1304,1,1,1,,,false
102,205,Equipment,,1305,1,1,1,,,false
103,205,Equipment,,1306,1,1,1,,,false
104,205,Equipment,,1307,1,1,1,,,false
105,205,Equipment,,1308,1,1,1,,,false
