job_code,job_name,player_level,job_level,max_hp,max_mp,strength,defense,intelligence,luck,speed
OniWarrior,鬼武者,100,1,618,107,304,203,5,102,103
OniWarrior,鬼武者,110,11,698,117,364,213,5,112,133
OniWarrior,鬼武者,120,21,778,127,424,223,5,122,163
OniWarrior,鬼武者,130,31,858,137,484,233,5,132,193
OniWarrior,鬼武者,140,41,938,147,544,243,5,142,223
OniWarrior,鬼武者,150,51,1018,157,604,253,5,152,253
OniWarrior,鬼武者,160,61,1098,167,664,263,5,162,283
OniWarrior,鬼武者,170,71,1178,177,724,273,5,172,313
OniWarrior,鬼武者,180,81,1258,187,784,283,5,182,343
OniWarrior,鬼武者,190,91,1338,197,844,293,5,192,373
OniWarrior,鬼武者,200,101,1418,207,904,303,5,202,403
Trickster,トリックスター,100,1,717,107,205,401,5,102,103
Trickster,トリックスター,110,11,787,127,225,431,5,122,153
Trickster,トリックスター,120,21,857,147,245,461,5,142,203
Trickster,トリックスター,130,31,927,167,265,491,5,162,253
Trickster,トリックスター,140,41,997,187,285,521,5,182,303
Trickster,トリックスター,150,51,1067,207,305,551,5,202,353
Trickster,トリックスター,160,61,1137,227,325,581,5,222,403
Trickster,トリックスター,170,71,1207,247,345,611,5,242,453
Trickster,トリックスター,180,81,1277,267,365,641,5,262,503
Trickster,トリックスター,190,91,1347,287,385,671,5,282,553
Trickster,トリックスター,200,101,1417,307,405,701,5,302,603
FireMage,火魔法使い,100,1,420,305,7,104,500,102,103
FireMage,火魔法使い,110,11,460,365,7,114,560,112,123
FireMage,火魔法使い,120,21,500,425,7,124,620,122,143
FireMage,火魔法使い,130,31,540,485,7,134,680,132,163
FireMage,火魔法使い,140,41,580,545,7,144,740,142,183
FireMage,火魔法使い,150,51,620,605,7,154,800,152,203
FireMage,火魔法使い,160,61,660,665,7,164,860,162,223
FireMage,火魔法使い,170,71,700,725,7,174,920,172,243
FireMage,火魔法使い,180,81,740,785,7,184,980,182,263
FireMage,火魔法使い,190,91,780,845,7,194,1040,192,283
FireMage,火魔法使い,200,101,820,905,7,204,1100,202,303
HighPriest,神官,100,1,420,404,7,104,302,201,103
HighPriest,神官,110,11,470,464,7,114,352,221,113
HighPriest,神官,120,21,520,524,7,124,402,241,123
HighPriest,神官,130,31,570,584,7,134,452,261,133
HighPriest,神官,140,41,620,644,7,144,502,281,143
HighPriest,神官,150,51,670,704,7,154,552,301,153
HighPriest,神官,160,61,720,764,7,164,602,321,163
HighPriest,神官,170,71,770,824,7,174,652,341,173
HighPriest,神官,180,81,820,884,7,184,702,361,183
HighPriest,神官,190,91,870,944,7,194,752,381,193
HighPriest,神官,200,101,920,1004,7,204,802,401,203
Sniper,スナイパー,100,1,519,206,205,104,104,201,301
Sniper,スナイパー,110,11,569,226,245,114,114,241,351
Sniper,スナイパー,120,21,619,246,285,124,124,281,401
Sniper,スナイパー,130,31,669,266,325,134,134,321,451
Sniper,スナイパー,140,41,719,286,365,144,144,361,501
Sniper,スナイパー,150,51,769,306,405,154,154,401,551
Sniper,スナイパー,160,61,819,326,445,164,164,441,601
Sniper,スナイパー,170,71,869,346,485,174,174,481,651
Sniper,スナイパー,180,81,919,366,525,184,184,521,701
Sniper,スナイパー,190,91,969,386,565,194,194,561,751
Sniper,スナイパー,200,101,1019,406,605,204,204,601,801
