job_code,job_name,player_level,job_level,max_hp,max_mp,strength,defense,intelligence,luck,speed
Warrior,戦士,10,10,78,17,34,23,5,12,13
Warrior,戦士,20,20,138,27,64,43,5,22,23
Warrior,戦士,30,30,198,37,94,63,5,32,33
Warrior,戦士,40,40,258,47,124,83,5,42,43
Warrior,戦士,50,50,318,57,154,103,5,52,53
Warrior,戦士,60,60,378,67,184,123,5,62,63
Warrior,戦士,70,70,438,77,214,143,5,72,73
Warrior,戦士,80,80,498,87,244,163,5,82,83
Warrior,戦士,90,90,558,97,274,183,5,92,93
Warrior,戦士,100,100,618,107,304,203,5,102,103
Guardian,盾使い,10,10,87,17,25,41,5,12,13
Guardian,盾使い,20,20,157,27,45,81,5,22,23
Guardian,盾使い,30,30,227,37,65,121,5,32,33
Guardian,盾使い,40,40,297,47,85,161,5,42,43
Guardian,盾使い,50,50,367,57,105,201,5,52,53
Guardian,盾使い,60,60,437,67,125,241,5,62,63
Guardian,盾使い,70,70,507,77,145,281,5,72,73
Guardian,盾使い,80,80,577,87,165,321,5,82,83
Guardian,盾使い,90,90,647,97,185,361,5,92,93
Guardian,盾使い,100,100,717,107,205,401,5,102,103
Mage,魔法使い,10,10,60,35,7,14,50,12,13
Mage,魔法使い,20,20,100,65,7,24,100,22,23
Mage,魔法使い,30,30,140,95,7,34,150,32,33
Mage,魔法使い,40,40,180,125,7,44,200,42,43
Mage,魔法使い,50,50,220,155,7,54,250,52,53
Mage,魔法使い,60,60,260,185,7,64,300,62,63
Mage,魔法使い,70,70,300,215,7,74,350,72,73
Mage,魔法使い,80,80,340,245,7,84,400,82,83
Mage,魔法使い,90,90,380,275,7,94,450,92,93
Mage,魔法使い,100,100,420,305,7,104,500,102,103
Priest,僧侶,10,10,60,44,7,14,32,21,13
Priest,僧侶,20,20,100,84,7,24,62,41,23
Priest,僧侶,30,30,140,124,7,34,92,61,33
Priest,僧侶,40,40,180,164,7,44,122,81,43
Priest,僧侶,50,50,220,204,7,54,152,101,53
Priest,僧侶,60,60,260,244,7,64,182,121,63
Priest,僧侶,70,70,300,284,7,74,212,141,73
Priest,僧侶,80,80,340,324,7,84,242,161,83
Priest,僧侶,90,90,380,364,7,94,272,181,93
Priest,僧侶,100,100,420,404,7,104,302,201,103
Ranger,レンジャー,10,10,69,26,25,14,14,21,31
Ranger,レンジャー,20,20,119,46,45,24,24,41,61
Ranger,レンジャー,30,30,169,66,65,34,34,61,91
Ranger,レンジャー,40,40,219,86,85,44,44,81,121
Ranger,レンジャー,50,50,269,106,105,54,54,101,151
Ranger,レンジャー,60,60,319,126,125,64,64,121,181
Ranger,レンジャー,70,70,369,146,145,74,74,141,211
Ranger,レンジャー,80,80,419,166,165,84,84,161,241
Ranger,レンジャー,90,90,469,186,185,94,94,181,271
Ranger,レンジャー,100,100,519,206,205,104,104,201,301
