job_code,job_name,player_level,job_level,max_hp,max_mp,strength,defense,intelligence,luck,speed
Shogun,大将軍,1000,701,8618,3207,5804,4803,2105,2402,3003
Shogun,大将軍,2000,1701,17618,7207,11804,10803,5105,5402,6003
Shogun,大将軍,3000,2701,26618,11207,17804,16803,8105,8402,9003
Shogun,大将軍,4000,3701,35618,15207,23804,22803,11105,11402,12003
Shogun,大将軍,5000,4701,44618,19207,29804,28803,14105,14402,15003
Shogun,大将軍,6000,5701,53618,23207,35804,34803,17105,17402,18003
Shogun,大将軍,7000,6701,62618,27207,41804,40803,20105,20402,21003
Shogun,大将軍,8000,7701,71618,31207,47804,46803,23105,23402,24003
Shogun,大将軍,9000,8701,80618,35207,53804,52803,26105,26402,27003
Shogun,大将軍,10000,9701,89618,39207,59804,58803,29105,29402,30003
Archmage,大魔法使い,1000,701,5620,7905,7,1704,7400,1702,3603
Archmage,大魔法使い,2000,1701,11620,16905,7,3704,15400,3702,7603
Archmage,大魔法使い,3000,2701,17620,25905,7,5704,23400,5702,11603
Archmage,大魔法使い,4000,3701,23620,34905,7,7704,31400,7702,15603
Archmage,大魔法使い,5000,4701,29620,43905,7,9704,39400,9702,19603
Archmage,大魔法使い,6000,5701,35620,52905,7,11704,47400,11702,23603
Archmage,大魔法使い,7000,6701,41620,61905,7,13704,55400,13702,27603
Archmage,大魔法使い,8000,7701,47620,70905,7,15704,63400,15702,31603
Archmage,大魔法使い,9000,8701,53620,79905,7,17704,71400,17702,35603
Archmage,大魔法使い,10000,9701,59620,88905,7,19704,79400,19702,39603
GreatThief,大盗賊,1000,701,6619,3506,3905,1804,2504,5301,5501
GreatThief,大盗賊,2000,1701,13619,7506,7905,3804,5504,11301,11501
GreatThief,大盗賊,3000,2701,20619,11506,11905,5804,8504,17301,17501
GreatThief,大盗賊,4000,3701,27619,15506,15905,7804,11504,23301,23501
GreatThief,大盗賊,5000,4701,34619,19506,19905,9804,14504,29301,29501
GreatThief,大盗賊,6000,5701,41619,23506,23905,11804,17504,35301,35501
GreatThief,大盗賊,7000,6701,48619,27506,27905,13804,20504,41301,41501
GreatThief,大盗賊,8000,7701,55619,31506,31905,15804,23504,47301,47501
GreatThief,大盗賊,9000,8701,62619,35506,35905,17804,26504,53301,53501
GreatThief,大盗賊,10000,9701,69619,39506,39905,19804,29504,59301,59501
