floor,theme,is_boss,f_n,攻撃_hp,攻撃_str,攻撃_def,防御_hp,防御_str,防御_def,支援_hp,支援_str,支援_def,boss_hp,boss_str,reward_exp
1,1,False,1.02,204,40,20,367,25,46,224,20,22,994,84,1
2,1,False,1.08,216,43,21,388,27,49,237,21,23,1053,89,2
3,1,False,1.18,236,47,23,424,29,54,259,23,25,1150,97,3
4,1,False,1.32,264,52,26,475,33,60,290,26,29,1287,108,4
5,1,False,1.5,300,60,30,540,37,69,330,30,33,1462,123,5
6,1,False,1.72,344,68,34,619,43,79,378,34,37,1677,141,6
7,1,False,1.98,396,79,39,712,49,91,435,39,43,1930,163,7
8,1,False,2.28,456,91,45,820,57,104,501,45,50,2223,188,8
9,1,False,2.62,524,104,52,943,65,120,576,52,57,2554,216,9
10,1,True,3.0,600,120,60,1080,75,138,660,60,66,2925,247,10
11,2,False,3.42,684,136,68,1231,85,157,752,68,75,3334,282,11
12,2,False,3.88,776,155,77,1396,97,178,853,77,85,3783,320,12
13,2,False,4.38,876,175,87,1576,109,201,963,87,96,4270,361,13
14,2,False,4.92,984,196,98,1771,123,226,1082,98,108,4797,405,14
15,2,False,5.5,1100,220,110,1980,137,253,1210,110,121,5362,453,15
16,2,False,6.12,1224,244,122,2203,153,281,1346,122,134,5967,504,16
17,2,False,6.78,1356,271,135,2440,169,311,1491,135,149,6610,559,17
18,2,False,7.48,1496,299,149,2692,187,344,1645,149,164,7293,617,18
19,2,False,8.22,1643,328,164,2959,205,378,1808,164,180,8014,678,19
20,2,True,9.0,1800,360,180,3240,225,414,1980,180,198,8775,742,20
21,3,False,9.82,1964,392,196,3535,245,451,2160,196,216,9574,810,21
22,3,False,10.68,2136,427,213,3844,267,491,2349,213,234,10413,881,22
23,3,False,11.58,2316,463,231,4168,289,532,2547,231,254,11290,955,23
24,3,False,12.52,2504,500,250,4507,313,575,2754,250,275,12207,1032,24
25,3,False,13.5,2700,540,270,4860,337,621,2970,270,297,13162,1113,25
26,3,False,14.52,2904,580,290,5227,363,667,3194,290,319,14157,1197,26
27,3,False,15.58,3116,623,311,5608,389,716,3427,311,342,15190,1285,27
28,3,False,16.68,3336,667,333,6004,417,767,3669,333,366,16263,1376,28
29,3,False,17.82,3564,712,356,6415,445,819,3920,356,392,17374,1470,29
30,3,True,19.0,3800,760,380,6840,475,874,4180,380,418,18525,1567,30
31,4,False,20.22,4044,808,404,7279,505,930,4448,404,444,19714,1668,31
32,4,False,21.48,4296,859,429,7732,537,988,4725,429,472,20943,1772,32
33,4,False,22.78,4556,911,455,8200,569,1047,5011,455,501,22210,1879,33
34,4,False,24.12,4824,964,482,8683,603,1109,5306,482,530,23517,1989,34
35,4,False,25.5,5100,1020,510,9180,637,1173,5610,510,561,24862,2103,35
36,4,False,26.92,5384,1076,538,9691,673,1238,5922,538,592,26247,2220,36
37,4,False,28.38,5676,1135,567,10216,709,1305,6243,567,624,27670,2341,37
38,4,False,29.88,5976,1195,597,10756,747,1374,6573,597,657,29133,2465,38
39,4,False,31.42,6284,1256,628,11311,785,1445,6912,628,691,30634,2592,39
40,4,True,33.0,6600,1320,660,11880,825,1518,7260,660,726,32175,2722,40
41,5,False,34.62,6923,1384,692,12463,865,1592,7616,692,761,33754,2856,41
42,5,False,36.28,7256,1451,725,13060,907,1668,7981,725,798,35373,2993,42
43,5,False,37.98,7596,1519,759,13672,949,1747,8355,759,835,37030,3133,43
44,5,False,39.72,7944,1588,794,14299,993,1827,8738,794,873,38727,3276,44
45,5,False,41.5,8300,1660,830,14940,1037,1909,9130,830,913,40462,3423,45
46,5,False,43.32,8664,1732,866,15595,1083,1992,9530,866,953,42237,3573,46
47,5,False,45.18,9036,1807,903,16264,1129,2078,9939,903,993,44050,3727,47
48,5,False,47.08,9416,1883,941,16948,1177,2165,10357,941,1035,45903,3884,48
49,5,False,49.02,9804,1960,980,17647,1225,2254,10784,980,1078,47794,4044,49
50,5,True,51.0,10200,2040,1020,18360,1275,2346,11220,1020,1122,49725,4207,50
51,1,False,53.02,10604,2120,1060,19087,1325,2438,11664,1060,1166,51694,4374,51
52,1,False,55.08,11016,2203,1101,19828,1377,2533,12117,1101,1211,53703,4544,52
53,1,False,57.18,11436,2287,1143,20584,1429,2630,12579,1143,1257,55750,4717,53
54,1,False,59.32,11864,2372,1186,21355,1483,2728,13050,1186,1305,57837,4893,54
55,1,False,61.5,12300,2460,1230,22140,1537,2829,13530,1230,1353,59962,5073,55
56,1,False,63.72,12744,2548,1274,22939,1593,2931,14018,1274,1401,62127,5256,56
57,1,False,65.98,13196,2639,1319,23752,1649,3035,14515,1319,1451,64330,5443,57
58,1,False,68.28,13656,2731,1365,24580,1707,3140,15021,1365,1502,66573,5633,58
59,1,False,70.62,14124,2824,1412,25423,1765,3248,15536,1412,1553,68854,5826,59
60,1,True,73.0,14600,2920,1460,26280,1825,3358,16060,1460,1606,71175,6022,60
70,2,True,99.0,19800,3960,1980,35640,2475,4554,21780,1980,2178,96525,8167,70
80,3,True,129.0,25800,5160,2580,46440,3225,5934,28380,2580,2838,125775,10642,80
90,4,True,163.0,32600,6520,3260,58680,4075,7498,35860,3260,3586,158925,13447,90
100,5,True,201.0,40200,8040,4020,72360,5025,9246,44220,4020,4422,195975,16582,100
110,1,True,243.0,48600,9720,4860,87480,6075,11178,53460,4860,5346,236925,20047,110
120,2,True,289.0,57800,11560,5780,104040,7225,13294,63580,5780,6358,281775,23842,120
130,3,True,339.0,67800,13560,6780,122040,8475,15594,74580,6780,7458,330525,27967,130
140,4,True,393.0,78600,15720,7860,141480,9825,18078,86460,7860,8646,383175,32422,140
150,5,True,451.0,90200,18040,9020,162360,11275,20746,99220,9020,9922,439725,37207,150
160,1,True,513.0,102600,20520,10260,184680,12825,23598,112860,10260,11286,500175,42322,160
170,2,True,579.0,115800,23160,11580,208440,14475,26634,127380,11580,12738,564525,47767,170
180,3,True,649.0,129800,25960,12980,233640,16225,29854,142780,12980,14278,632775,53542,180
190,4,True,723.0,144600,28920,14460,260280,18075,33258,159060,14460,15906,704925,59647,190
200,5,True,801.0,160200,32040,16020,288360,20025,36846,176220,16020,17622,780975,66082,200
210,1,True,883.0,176600,35320,17660,317880,22075,40618,194260,17660,19426,860925,72847,210
220,2,True,969.0,193800,38760,19380,348840,24225,44574,213180,19380,21318,944775,79942,220
230,3,True,1059.0,211800,42360,21180,381240,26475,48714,232980,21180,23298,1032525,87367,230
240,4,True,1153.0,230600,46120,23060,415080,28825,53038,253660,23060,25366,1124175,95122,240
250,5,True,1251.0,250200,50040,25020,450360,31275,57546,275220,25020,27522,1219725,103207,250
260,1,True,1353.0,270600,54120,27060,487080,33825,62238,297660,27060,29766,1319175,111622,260
270,2,True,1459.0,291800,58360,29180,525240,36475,67114,320980,29180,32098,1422525,120367,270
280,3,True,1569.0,313800,62760,31380,564840,39225,72174,345180,31380,34518,1529775,129442,280
290,4,True,1683.0,336600,67320,33660,605880,42075,77418,370260,33660,37026,1640925,138847,290
300,5,True,1801.0,360200,72040,36020,648360,45025,82846,396220,36020,39622,1755975,148582,300
310,1,True,1923.0,384600,76920,38460,692280,48075,88458,423060,38460,42306,1874925,158647,310
320,2,True,2049.0,409800,81960,40980,737640,51225,94254,450780,40980,45078,1997775,169042,320
330,3,True,2179.0,435800,87160,43580,784440,54475,100234,479380,43580,47938,2124525,179767,330
340,4,True,2313.0,462600,92520,46260,832680,57825,106398,508860,46260,50886,2255175,190822,340
350,5,True,2451.0,490200,98040,49020,882360,61275,112746,539220,49020,53922,2389725,202207,350
360,1,True,2593.0,518600,103720,51860,933480,64825,119278,570460,51860,57046,2528175,213922,360
370,2,True,2739.0,547800,109560,54780,986040,68475,125994,602580,54780,60258,2670525,225967,370
380,3,True,2889.0,577800,115560,57780,1040040,72225,132894,635580,57780,63558,2816775,238342,380
390,4,True,3043.0,608600,121720,60860,1095480,76075,139978,669460,60860,66946,2966925,251047,390
400,5,True,3201.0,640200,128040,64020,1152360,80025,147246,704220,64020,70422,3120975,264082,400
410,1,True,3363.0,672600,134520,67260,1210680,84075,154698,739860,67260,73986,3278925,277447,410
420,2,True,3529.0,705800,141160,70580,1270440,88225,162334,776380,70580,77638,3440775,291142,420
430,3,True,3699.0,739800,147960,73980,1331640,92475,170154,813780,73980,81378,3606525,305167,430
440,4,True,3873.0,774600,154920,77460,1394280,96825,178158,852060,77460,85206,3776175,319522,440
450,5,True,4051.0,810200,162040,81020,1458360,101275,186346,891220,81020,89122,3949725,334207,450
460,1,True,4233.0,846600,169320,84660,1523880,105825,194718,931260,84660,93126,4127175,349222,460
470,2,True,4419.0,883800,176760,88380,1590840,110475,203274,972180,88380,97218,4308525,364567,470
480,3,True,4609.0,921800,184360,92180,1659240,115225,212014,1013980,92180,101398,4493775,380242,480
490,4,True,4803.0,960600,192120,96060,1729080,120075,220938,1056660,96060,105666,4682925,396247,490
500,5,True,5001.0,1000200,200040,100020,1800360,125025,230046,1100220,100020,110022,4875975,412582,500
510,1,True,5203.0,1040600,208120,104060,1873080,130075,239338,1144660,104060,114466,5072925,429247,510
520,2,True,5409.0,1081800,216360,108180,1947240,135225,248814,1189980,108180,118998,5273775,446242,520
