job_code,job_name,player_level,job_level,max_hp,max_mp,strength,defense,intelligence,luck,speed
GrandWarrior,グランドウォリアー,200,1,1418,207,904,303,5,202,403
GrandWarrior,グランドウォリアー,210,11,1508,227,974,333,5,212,453
GrandWarrior,グランドウォリアー,220,21,1598,247,1044,363,5,222,503
GrandWarrior,グランドウォリアー,230,31,1688,267,1114,393,5,232,553
GrandWarrior,グランドウォリアー,240,41,1778,287,1184,423,5,242,603
GrandWarrior,グランドウォリアー,250,51,1868,307,1254,453,5,252,653
GrandWarrior,グランドウォリアー,260,61,1958,327,1324,483,5,262,703
GrandWarrior,グランドウォリアー,270,71,2048,347,1394,513,5,272,753
GrandWarrior,グランドウォリアー,280,81,2138,367,1464,543,5,282,803
GrandWarrior,グランドウォリアー,290,91,2228,387,1534,573,5,292,853
GrandWarrior,グランドウォリアー,300,101,2318,407,1604,603,5,302,903
GrandGuard,グランドガード,200,1,1417,307,405,701,5,302,603
GrandGuard,グランドガード,210,11,1507,347,415,771,35,312,623
GrandGuard,グランドガード,220,21,1597,387,425,841,65,322,643
GrandGuard,グランドガード,230,31,1687,427,435,911,95,332,663
GrandGuard,グランドガード,240,41,1777,467,445,981,125,342,683
GrandGuard,グランドガード,250,51,1867,507,455,1051,155,352,703
GrandGuard,グランドガード,260,61,1957,547,465,1121,185,362,723
GrandGuard,グランドガード,270,71,2047,587,475,1191,215,372,743
GrandGuard,グランドガード,280,81,2137,627,485,1261,245,382,763
GrandGuard,グランドガード,290,91,2227,667,495,1331,275,392,783
GrandGuard,グランドガード,300,101,2317,707,505,1401,305,402,803
GrandCaster,グランドキャスター,200,1,820,905,7,204,1100,202,303
GrandCaster,グランドキャスター,210,11,880,975,7,214,1170,212,353
GrandCaster,グランドキャスター,220,21,940,1045,7,224,1240,222,403
GrandCaster,グランドキャスター,230,31,1000,1115,7,234,1310,232,453
GrandCaster,グランドキャスター,240,41,1060,1185,7,244,1380,242,503
GrandCaster,グランドキャスター,250,51,1120,1255,7,254,1450,252,553
GrandCaster,グランドキャスター,260,61,1180,1325,7,264,1520,262,603
GrandCaster,グランドキャスター,270,71,1240,1395,7,274,1590,272,653
GrandCaster,グランドキャスター,280,81,1300,1465,7,284,1660,282,703
GrandCaster,グランドキャスター,290,91,1360,1535,7,294,1730,292,753
GrandCaster,グランドキャスター,300,101,1420,1605,7,304,1800,302,803
GrandPriest,グランドプリースト,200,1,920,1004,7,204,802,401,203
GrandPriest,グランドプリースト,210,11,990,1074,7,224,862,421,213
GrandPriest,グランドプリースト,220,21,1060,1144,7,244,922,441,223
GrandPriest,グランドプリースト,230,31,1130,1214,7,264,982,461,233
GrandPriest,グランドプリースト,240,41,1200,1284,7,284,1042,481,243
GrandPriest,グランドプリースト,250,51,1270,1354,7,304,1102,501,253
GrandPriest,グランドプリースト,260,61,1340,1424,7,324,1162,521,263
GrandPriest,グランドプリースト,270,71,1410,1494,7,344,1222,541,273
GrandPriest,グランドプリースト,280,81,1480,1564,7,364,1282,561,283
GrandPriest,グランドプリースト,290,91,1550,1634,7,384,1342,581,293
GrandPriest,グランドプリースト,300,101,1620,1704,7,404,1402,601,303
GrandRanger,グランドレンジャー,200,1,1019,406,605,204,204,601,801
GrandRanger,グランドレンジャー,210,11,1089,436,655,224,224,651,851
GrandRanger,グランドレンジャー,220,21,1159,466,705,244,244,701,901
GrandRanger,グランドレンジャー,230,31,1229,496,755,264,264,751,951
GrandRanger,グランドレンジャー,240,41,1299,526,805,284,284,801,1001
GrandRanger,グランドレンジャー,250,51,1369,556,855,304,304,851,1051
GrandRanger,グランドレンジャー,260,61,1439,586,905,324,324,901,1101
GrandRanger,グランドレンジャー,270,71,1509,616,955,344,344,951,1151
GrandRanger,グランドレンジャー,280,81,1579,646,1005,364,364,1001,1201
GrandRanger,グランドレンジャー,290,91,1649,676,1055,384,384,1051,1251
GrandRanger,グランドレンジャー,300,101,1719,706,1105,404,404,1101,1301
