label,total_level,max_hp,max_mp,strength,defense,intelligence,luck,speed,combat_index
"レベル5: 旅人5",5,20,10,10,10,10,5,5,49
"レベル10: 旅人5→戦士5",10,50,15,25,20,10,10,10,96
"レベル10: 旅人5→盾使い5",10,55,15,20,30,10,10,10,103
"レベル10: 旅人5→魔法使い5",10,35,30,10,15,30,10,10,92
"レベル10: 旅人5→僧侶5",10,40,30,10,15,25,15,10,92
"レベル10: 旅人5→レンジャー5",10,45,20,20,15,15,15,20,102
"レベル25: 旅人5→戦士20",25,140,30,70,50,10,25,25,238
"レベル25: 旅人5→盾使い20",25,160,30,50,90,10,25,25,264
"レベル25: 旅人5→魔法使い20",25,80,90,10,30,90,25,25,219
"レベル25: 旅人5→僧侶20",25,100,90,10,30,70,45,25,220
"レベル25: 旅人5→レンジャー20",25,120,50,50,30,30,45,65,262
"レベル50: 旅人5→戦士45",50,290,55,145,100,10,50,50,474
"レベル50: 旅人5→盾使い45",50,335,55,100,190,10,50,50,533
"レベル50: 旅人5→魔法使い45",50,155,190,10,55,190,50,50,432
"レベル50: 旅人5→僧侶45",50,200,190,10,55,145,95,50,434
"レベル50: 旅人5→レンジャー45",50,245,100,100,55,55,95,140,528
"レベル75: 旅人5→戦士65",70,410,75,205,140,10,70,70,663
"レベル75: 旅人5→盾使い65",70,475,75,140,270,10,70,70,748
"レベル75: 旅人5→魔法使い65",70,215,270,10,75,270,70,70,602
"レベル75: 旅人5→僧侶65",70,280,270,10,75,205,135,70,605
"レベル75: 旅人5→レンジャー65",70,345,140,140,75,75,135,200,741
"レベル100: 旅人5→戦士65→鬼武者30",100,650,105,385,170,10,100,160,1094
"レベル100: 旅人5→戦士65→ソードマスター30",100,620,105,355,200,10,100,190,1109
"レベル100: 旅人5→盾使い65→トリックスター30",100,685,135,200,360,10,130,220,1174
"レベル100: 旅人5→盾使い65→クルセイダー30",100,715,135,200,450,40,100,100,1181
"レベル100: 旅人5→魔法使い65→火魔法使い30",100,335,450,10,105,450,100,130,965
"レベル100: 旅人5→魔法使い65→水魔法使い30",100,365,450,10,135,420,100,130,975
"レベル100: 旅人5→魔法使い65→風魔法使い30",100,335,450,10,105,420,130,190,1011
"レベル100: 旅人5→僧侶65→神官30",100,430,450,10,105,355,195,100,942
"レベル100: 旅人5→僧侶65→死霊使い30",100,430,420,100,105,355,195,100,1046
"レベル100: 旅人5→レンジャー65→スナイパー30",100,495,200,260,105,105,255,350,1235
"レベル100: 旅人5→レンジャー65→罠師30",100,495,260,200,135,165,195,320,1193
"レベル150: 旅人5→戦士65→鬼武者75",145,1010,150,655,215,10,145,295,1740
"レベル150: 旅人5→戦士65→ソードマスター75",145,935,150,580,290,10,145,370,1777
"レベル150: 旅人5→盾使い65→トリックスター75",145,1000,225,290,495,10,220,445,1813
"レベル150: 旅人5→盾使い65→クルセイダー75",145,1075,225,290,720,85,145,145,1832
"レベル150: 旅人5→魔法使い65→火魔法使い75",145,515,720,10,150,720,145,220,1509
"レベル150: 旅人5→魔法使い65→水魔法使い75",145,590,720,10,225,645,145,220,1535
"レベル150: 旅人5→魔法使い65→風魔法使い75",145,515,720,10,150,645,220,370,1625
"レベル150: 旅人5→僧侶65→神官75",145,655,720,10,150,580,285,145,1449
"レベル150: 旅人5→僧侶65→死霊使い75",145,655,645,235,150,580,285,145,1707
"レベル150: 旅人5→レンジャー65→スナイパー75",145,720,290,440,150,150,435,575,1975
"レベル150: 旅人5→レンジャー65→罠師75",145,720,440,290,225,300,285,500,1870
"レベル200: 旅人5→戦士65→鬼武者75→ソードマスター50",195,1360,200,905,315,10,195,495,2482
"レベル200: 旅人5→盾使い65→トリックスター75→クルセイダー50",195,1400,325,390,795,60,270,495,2535
"レベル200: 旅人5→魔法使い65→火魔法使い75→水魔法使い50",195,765,1020,10,250,970,195,320,2132
"レベル200: 旅人5→僧侶65→神官75→死霊使い50",195,905,970,160,200,830,385,195,2184
"レベル200: 旅人5→レンジャー65→スナイパー75→罠師50",195,970,490,540,250,300,535,775,2728
"レベル300: 旅人5→戦士65→鬼武者75→ソードマスター30→グランドウォーリアー170",345,2750,520,1995,785,10,345,1265,5585
"レベル300: 旅人5→盾使い65→トリックスター75→クルセイダー30→グランドガード170",345,2770,965,520,1865,550,420,815,5298
"レベル300: 旅人5→魔法使い65→火魔法使い75→水魔法使い30→風魔法使い30→グランドキャスター40",245,1025,1360,10,280,1300,275,600,2956
"レベル300: 旅人5→僧侶65→神官75→死霊使い30→グランドプリースト170",345,1995,2060,100,520,1750,685,345,4295
"レベル300: 旅人5→レンジャー65→スナイパー75→罠師30→グランドレンジャー170",345,2060,920,1350,550,580,1345,1545,6056
